Metric,Value
Rise Time,0.0011961481002566467
Settling Time,0.011483021762463807
Settling Min,0.8219735077558977
Settling Max,1.31529481549685
Overshoot,37.50809434739795
Undershoot,0.0
Peak,1.31529481549685
Peak Time,0.0033492146807186105
Steady-State Value,0.9565217391304348
Steady-State Error,0.04347826086956519
